,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
797,1,3,1,31.0,0,0,S
798,0,3,0,30.0,0,0,C
799,0,3,1,30.0,1,1,S
800,0,2,0,34.0,0,0,S
801,1,2,1,31.0,1,1,S
802,1,1,0,11.0,1,2,S
803,1,3,0,0.42,0,1,C
804,1,3,0,27.0,0,0,S
805,0,3,0,31.0,0,0,S
806,0,1,0,39.0,0,0,S
807,0,3,1,18.0,0,0,S
808,0,2,0,39.0,0,0,S
809,1,1,1,33.0,1,0,S
810,0,3,0,26.0,0,0,S
811,0,3,0,39.0,0,0,S
812,0,2,0,35.0,0,0,S
813,0,3,1,6.0,4,2,S
814,0,3,0,30.5,0,0,S
815,0,1,0,,0,0,S
816,0,3,1,23.0,0,0,S
817,0,2,0,31.0,1,1,C
818,0,3,0,43.0,0,0,S
819,0,3,0,10.0,3,2,S
820,1,1,1,52.0,1,1,S
821,1,3,0,27.0,0,0,S
822,0,1,0,38.0,0,0,S
823,1,3,1,27.0,0,1,S
824,0,3,0,2.0,4,1,S
825,0,3,0,,0,0,Q
826,0,3,0,,0,0,S
827,1,2,0,1.0,0,2,C
828,1,3,0,,0,0,Q
829,1,1,1,62.0,0,0,
830,1,3,1,15.0,1,0,C
831,1,2,0,0.83,1,1,S
832,0,3,0,,0,0,C
833,0,3,0,23.0,0,0,S
834,0,3,0,18.0,0,0,S
835,1,1,1,39.0,1,1,C
836,0,3,0,21.0,0,0,S
837,0,3,0,,0,0,S
838,1,3,0,32.0,0,0,S
839,1,1,0,,0,0,C
840,0,3,0,20.0,0,0,S
841,0,2,0,16.0,0,0,S
842,1,1,1,30.0,0,0,C
843,0,3,0,34.5,0,0,C
844,0,3,0,17.0,0,0,S
845,0,3,0,42.0,0,0,S
846,0,3,0,,8,2,S
847,0,3,0,35.0,0,0,C
848,0,2,0,28.0,0,1,S
849,1,1,1,,1,0,C
850,0,3,0,4.0,4,2,S
851,0,3,0,74.0,0,0,S
852,0,3,1,9.0,1,1,C
853,1,1,1,16.0,0,1,S
854,0,2,1,44.0,1,0,S
855,1,3,1,18.0,0,1,S
856,1,1,1,45.0,1,1,S
857,1,1,0,51.0,0,0,S
858,1,3,1,24.0,0,3,C
859,0,3,0,,0,0,C
860,0,3,0,41.0,2,0,S
861,0,2,0,21.0,1,0,S
862,1,1,1,48.0,0,0,S
863,0,3,1,,8,2,S
864,0,2,0,24.0,0,0,S
865,1,2,1,42.0,0,0,S
866,1,2,1,27.0,1,0,C
867,0,1,0,31.0,0,0,S
868,0,3,0,,0,0,S
869,1,3,0,4.0,1,1,S
870,0,3,0,26.0,0,0,S
871,1,1,1,47.0,1,1,S
872,0,1,0,33.0,0,0,S
873,0,3,0,47.0,0,0,S
874,1,2,1,28.0,1,0,C
875,1,3,1,15.0,0,0,C
876,0,3,0,20.0,0,0,S
877,0,3,0,19.0,0,0,S
878,0,3,0,,0,0,S
879,1,1,1,56.0,0,1,C
880,1,2,1,25.0,0,1,S
881,0,3,0,33.0,0,0,S
882,0,3,1,22.0,0,0,S
883,0,2,0,28.0,0,0,S
884,0,3,0,25.0,0,0,S
885,0,3,1,39.0,0,5,Q
886,0,2,0,27.0,0,0,S
887,1,1,1,19.0,0,0,S
888,0,3,1,,1,2,S
889,1,1,0,26.0,0,0,C
890,0,3,0,32.0,0,0,Q
