PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,FareC,Child
592,0,3,0,47.0,0,0,S,35.31,0
593,0,3,1,,0,2,Q,12.98,1
594,0,2,0,37.0,1,0,S,63.31,0
595,0,3,0,36.0,1,1,S,39.20,0
596,1,2,1,,0,0,S,53.57,0
597,0,3,0,49.0,0,0,S,0.00,0
598,0,3,0,,0,0,C,35.19,0
599,1,1,0,49.0,1,0,C,138.62,0
600,1,2,1,24.0,2,1,S,37.57,0
601,0,3,0,,0,0,S,38.45,0
602,0,1,0,,0,0,S,206.49,0
603,0,3,0,44.0,0,0,S,39.20,0
604,1,1,0,35.0,0,0,C,26.55,0
605,0,3,0,36.0,1,0,S,37.86,0
606,0,3,0,30.0,0,0,S,38.45,0
607,1,1,0,27.0,0,0,S,148.54,0
608,1,2,1,22.0,1,2,C,67.50,0
609,1,1,1,40.0,0,0,S,249.12,0
610,0,3,1,39.0,1,5,S,21.76,0
611,0,3,0,,0,0,S,34.33,0
612,1,3,1,,1,0,Q,32.46,0
613,0,3,0,,0,0,Q,32.46,0
614,0,3,0,35.0,0,0,S,39.20,0
615,1,2,1,24.0,1,2,S,105.52,1
616,0,3,0,34.0,1,1,S,28.05,0
617,0,3,1,26.0,1,0,S,39.20,0
618,1,2,1,4.0,2,1,S,75.97,1
619,0,2,0,26.0,0,0,S,51.14,0
620,0,3,0,27.0,1,0,C,35.20,0
621,1,1,0,42.0,1,0,S,127.97,0
622,1,3,0,20.0,1,1,C,30.66,0
623,0,3,0,21.0,0,0,S,38.25,0
624,0,3,0,21.0,0,0,S,39.20,0
625,0,1,0,61.0,0,0,S,157.40,0
626,0,2,0,57.0,0,0,Q,51.72,0
627,1,1,1,21.0,0,0,S,126.55,0
628,0,3,0,26.0,0,0,S,38.45,0
629,0,3,0,,0,0,Q,32.39,0
630,1,1,0,80.0,0,0,S,146.10,0
631,0,3,0,51.0,0,0,S,34.35,0
632,1,1,0,32.0,0,0,C,30.50,0
633,0,1,0,,0,0,S,0.00,0
634,0,3,1,9.0,3,2,S,22.65,1
635,1,2,1,28.0,0,0,S,63.31,0
636,0,3,0,32.0,0,0,S,38.59,0
637,0,2,0,31.0,1,1,S,42.61,0
638,0,3,1,41.0,0,5,S,32.21,0
639,0,3,0,,1,0,S,39.20,0
640,0,3,0,20.0,0,0,S,38.25,0
641,1,1,1,24.0,0,0,C,168.75,0
642,0,3,1,2.0,3,2,S,22.65,1
643,1,3,0,,0,0,S,39.30,0
644,1,3,1,0.75,2,1,C,23.45,1
645,1,1,0,48.0,1,0,C,124.56,0
646,0,3,0,19.0,0,0,S,38.45,0
647,1,1,0,56.0,0,0,C,35.50,0
648,0,3,0,,0,0,S,36.77,0
649,1,3,1,23.0,0,0,S,36.77,0
650,0,3,0,,0,0,S,38.45,0
651,1,2,1,18.0,0,1,S,56.01,1
652,0,3,0,21.0,0,0,S,41.07,0
653,1,3,1,,0,0,Q,32.79,0
654,0,3,1,18.0,0,0,Q,28.27,0
655,0,2,0,24.0,2,0,S,71.59,0
656,0,3,0,,0,0,S,38.45,0
657,0,3,1,32.0,1,1,Q,25.97,0
658,0,2,0,23.0,0,0,S,63.31,0
659,0,1,0,58.0,0,2,C,37.76,0
660,1,1,0,50.0,2,0,S,216.96,0
661,0,3,0,40.0,0,0,C,35.19,0
662,0,1,0,47.0,0,0,S,124.61,0
663,0,3,0,36.0,0,0,S,36.50,0
664,1,3,0,20.0,1,0,S,19.30,0
665,0,2,0,32.0,2,0,S,71.59,0
666,0,2,0,25.0,0,0,S,63.31,0
667,0,3,0,,0,0,S,37.86,0
668,0,3,0,43.0,0,0,S,39.20,0
669,1,1,1,,1,0,S,126.62,0
670,1,2,1,40.0,1,1,S,75.97,0
671,0,1,0,31.0,1,0,S,126.62,0
672,0,2,0,70.0,0,0,S,51.14,0
673,1,2,0,31.0,0,0,S,63.31,0
674,0,2,0,,0,0,S,0.00,0
675,0,3,0,18.0,0,0,S,37.86,0
676,0,3,0,24.5,0,0,S,39.20,0
677,1,3,1,18.0,0,0,S,47.93,0
678,0,3,1,43.0,1,6,S,38.07,0
679,1,1,0,36.0,0,1,C,831.68,0
680,0,3,1,,0,0,Q,34.08,0
681,1,1,0,27.0,0,0,C,124.56,0
682,0,3,0,20.0,0,0,S,44.93,0
683,0,3,0,14.0,5,2,S,32.63,0
684,0,2,0,60.0,1,1,S,75.97,0
685,0,2,0,25.0,1,2,C,67.50,0
686,0,3,0,14.0,4,1,S,32.21,0
687,0,3,0,19.0,0,0,S,49.53,0
688,0,3,0,18.0,0,0,S,37.97,0
689,1,1,1,15.0,0,1,S,343.07,1
690,1,1,0,31.0,1,0,S,138.80,0
691,1,3,1,4.0,0,1,C,43.56,1
692,1,3,0,,0,0,S,39.30,0
693,0,3,0,25.0,0,0,C,35.19,0
694,0,1,0,60.0,0,0,S,129.30,0
695,0,2,0,52.0,0,0,S,65.75,0
696,0,3,0,44.0,0,0,S,39.20,0
697,1,3,1,,0,0,Q,32.39,0
698,0,1,0,49.0,1,1,C,27.72,0
699,0,3,0,42.0,0,0,S,37.26,0
700,1,1,1,18.0,1,0,C,277.01,0
701,1,1,0,35.0,0,0,S,128.02,0
702,0,3,1,18.0,0,1,C,35.20,1
703,0,3,0,25.0,0,0,Q,32.42,0
704,0,3,0,26.0,1,0,S,19.12,0
705,0,2,0,39.0,0,0,S,63.31,0
706,1,2,1,45.0,0,0,S,65.75,0
707,1,1,0,42.0,0,0,S,128.02,0
708,1,1,1,22.0,0,0,S,184.51,0
709,1,3,0,,1,1,C,37.12,1
710,1,1,1,24.0,0,0,C,241.09,0
711,0,1,0,,0,0,S,129.30,0
712,1,1,0,48.0,1,0,S,126.62,0
713,0,3,0,29.0,0,0,S,46.18,0
714,0,2,0,52.0,0,0,S,31.66,0
715,0,3,0,19.0,0,0,S,37.26,0
716,1,1,1,38.0,0,0,C,277.01,0
717,1,2,1,27.0,0,0,S,51.14,0
718,0,3,0,,0,0,Q,64.92,0
719,0,3,0,33.0,0,0,S,37.86,0
720,1,2,1,6.0,0,1,S,53.57,1
721,0,3,0,17.0,1,0,S,17.18,0
722,0,2,0,34.0,0,0,S,63.31,0
723,0,2,0,50.0,0,0,S,63.31,0
724,1,1,0,27.0,1,0,S,129.30,0
725,0,3,0,20.0,0,0,S,42.19,0
726,1,2,1,30.0,3,0,S,25.57,0
727,1,3,1,,0,0,Q,32.41,0
728,0,2,0,25.0,1,0,S,63.31,0
729,0,3,1,25.0,1,0,S,19.30,0
730,1,1,1,29.0,0,0,S,343.07,0
731,0,3,0,11.0,0,0,C,45.75,0
732,0,2,0,,0,0,S,0.00,0
733,0,2,0,23.0,0,0,S,63.31,0
734,0,2,0,23.0,0,0,S,63.31,0
735,0,3,0,28.5,0,0,S,39.20,0
736,0,3,1,48.0,1,3,S,41.85,0
737,1,1,0,35.0,0,0,C,831.68,0
738,0,3,0,,0,0,S,38.45,0
739,0,3,0,,0,0,S,38.45,0
740,1,1,0,,0,0,S,146.10,0
741,0,1,0,36.0,1,0,S,192.00,0
742,1,1,1,21.0,2,2,C,365.08,1
743,0,3,0,24.0,1,0,S,39.20,0
744,1,3,0,31.0,0,0,S,38.59,0
745,0,1,0,70.0,1,1,S,138.31,0
746,0,3,0,16.0,1,1,S,39.45,0
747,1,2,1,30.0,0,0,S,63.31,0
748,0,1,0,19.0,1,0,S,129.30,0
749,0,3,0,31.0,0,0,Q,32.46,0
750,1,2,1,4.0,1,1,S,56.01,1
751,1,3,0,6.0,0,1,S,30.38,1
752,0,3,0,33.0,0,0,S,46.27,0
753,0,3,0,23.0,0,0,S,38.45,0
754,1,2,1,48.0,1,2,S,105.52,0
755,1,2,0,0.67,1,1,S,35.31,1
756,0,3,0,28.0,0,0,S,37.97,0
757,0,2,0,18.0,0,0,S,56.01,0
758,0,3,0,34.0,0,0,S,39.20,0
759,1,1,1,33.0,0,0,S,140.42,0
760,0,3,0,,0,0,S,35.31,0
761,0,3,0,41.0,0,0,S,34.70,0
762,1,3,0,20.0,0,0,C,35.21,0
763,1,1,1,36.0,1,2,S,146.10,0
764,0,3,0,16.0,0,0,S,37.86,0
765,1,1,1,51.0,1,0,S,126.55,0
766,0,1,0,,0,0,C,39.60,0
767,0,3,1,30.5,0,0,Q,32.46,0
768,0,3,0,,1,0,Q,33.72,0
769,0,3,0,32.0,0,0,S,40.73,0
770,0,3,0,24.0,0,0,S,46.27,0
771,0,3,0,48.0,0,0,S,38.25,0
772,0,2,1,57.0,0,0,S,25.57,0
773,0,3,0,,0,0,C,35.19,0
774,1,2,1,54.0,1,3,S,32.00,0
775,0,3,0,18.0,0,0,S,37.74,0
776,0,3,0,,0,0,Q,32.46,0
777,1,3,1,5.0,0,0,S,30.38,0
778,0,3,0,,0,0,Q,32.41,0
779,1,1,1,43.0,0,1,S,343.07,0
780,1,3,1,13.0,0,0,C,35.21,0
781,1,1,1,17.0,1,0,S,138.80,0
782,0,1,0,29.0,0,0,S,146.10,0
783,0,3,0,,1,2,S,38.07,0
784,0,3,0,25.0,0,0,S,34.33,0
785,0,3,0,25.0,0,0,S,35.31,0
786,1,3,1,18.0,0,0,S,36.50,0
787,0,3,0,8.0,4,1,Q,24.40,1
788,1,3,0,1.0,1,2,S,33.40,1
789,0,1,0,46.0,0,0,C,192.85,0
790,0,3,0,,0,0,Q,32.46,0
791,0,2,0,16.0,0,0,S,63.31,0
792,0,3,1,,8,2,S,48.39,1
793,0,1,0,,0,0,C,149.49,0
794,0,3,0,25.0,0,0,S,38.45,0
795,0,2,0,39.0,0,0,S,63.31,0
796,1,1,1,49.0,0,0,S,126.28,0
797,1,3,1,31.0,0,0,S,42.29,0
798,0,3,0,30.0,0,0,C,35.21,0
799,0,3,1,30.0,1,1,S,39.20,0
800,0,2,0,34.0,0,0,S,31.66,0
801,1,2,1,31.0,1,1,S,42.61,0
802,1,1,0,11.0,1,2,S,146.10,1
803,1,3,0,0.42,0,1,C,27.65,1
804,1,3,0,27.0,0,0,S,33.97,0
805,0,3,0,31.0,0,0,S,37.86,0
806,0,1,0,39.0,0,0,S,0.00,0
807,0,3,1,18.0,0,0,S,37.86,0
808,0,2,0,39.0,0,0,S,63.31,0
809,1,1,1,33.0,1,0,S,129.30,0
810,0,3,0,26.0,0,0,S,38.41,0
811,0,3,0,39.0,0,0,S,58.81,0
812,0,2,0,35.0,0,0,S,51.14,0
813,0,3,1,6.0,4,2,S,21.76,1
814,0,3,0,30.5,0,0,S,39.20,0
815,0,1,0,,0,0,S,0.00,0
816,0,3,1,23.0,0,0,S,38.59,0
817,0,2,0,31.0,1,1,C,14.80,0
818,0,3,0,43.0,0,0,S,31.41,0
819,0,3,0,10.0,3,2,S,22.65,1
820,1,1,1,52.0,1,1,S,182.14,0
821,1,3,0,27.0,0,0,S,42.19,0
822,0,1,0,38.0,0,0,S,0.00,0
823,1,3,1,27.0,0,1,S,30.38,0
824,0,3,0,2.0,4,1,S,32.21,1
825,0,3,0,,0,0,Q,29.11,0
826,0,3,0,,0,0,S,39.30,0
827,1,2,0,1.0,0,2,C,14.80,1
828,1,3,0,,0,0,Q,32.46,0
829,1,1,1,62.0,0,0,,40.00,0
830,1,3,1,15.0,1,0,C,35.20,0
831,1,2,0,0.83,1,1,S,30.44,1
832,0,3,0,,0,0,C,35.21,0
833,0,3,0,23.0,0,0,S,38.25,0
834,0,3,0,18.0,0,0,S,40.42,0
835,1,1,1,39.0,1,1,C,202.49,1
836,0,3,0,21.0,0,0,S,42.19,0
837,0,3,0,,0,0,S,39.20,0
838,1,3,0,32.0,0,0,S,39.30,0
839,1,1,0,,0,0,C,29.70,0
840,0,3,0,20.0,0,0,S,38.59,0
841,0,2,0,16.0,0,0,S,25.57,0
842,1,1,1,30.0,0,0,C,15.50,0
843,0,3,0,34.5,0,0,C,31.35,0
844,0,3,0,17.0,0,0,S,42.19,0
845,0,3,0,42.0,0,0,S,36.77,0
846,0,3,0,,8,2,S,33.87,0
847,0,3,0,35.0,0,0,C,38.45,0
848,0,2,0,28.0,0,1,S,53.57,0
849,1,1,1,,1,0,C,44.55,0
850,0,3,0,4.0,4,2,S,21.76,1
851,0,3,0,74.0,0,0,S,37.86,0
852,0,3,1,9.0,1,1,C,37.12,1
853,1,1,1,16.0,0,1,S,127.92,1
854,0,2,1,44.0,1,0,S,63.31,0
855,1,3,1,18.0,0,1,S,30.36,0
856,1,1,1,45.0,1,1,S,321.16,0
857,1,1,0,51.0,0,0,S,129.30,0
858,1,3,1,24.0,0,3,C,23.45,0
859,0,3,0,,0,0,C,35.21,0
860,0,3,0,41.0,2,0,S,22.90,0
861,0,2,0,21.0,1,0,S,28.00,0
862,1,1,1,48.0,0,0,S,126.28,0
863,0,3,1,,8,2,S,48.39,1
864,0,2,0,24.0,0,0,S,63.31,0
865,1,2,1,42.0,0,0,S,63.31,0
866,1,2,1,27.0,1,0,C,33.74,0
867,0,1,0,31.0,0,0,S,245.91,0
868,0,3,0,,0,0,S,46.27,0
869,1,3,0,4.0,1,1,S,18.07,1
870,0,3,0,26.0,0,0,S,38.45,0
871,1,1,1,47.0,1,1,S,102.38,0
872,0,1,0,33.0,0,0,S,24.35,0
873,0,3,0,47.0,0,0,S,43.83,0
874,1,2,1,28.0,1,0,C,12.00,0
875,1,3,1,15.0,0,0,C,35.19,0
876,0,3,0,20.0,0,0,S,23.97,0
877,0,3,0,19.0,0,0,S,38.45,0
878,0,3,0,,0,0,S,38.45,0
879,1,1,1,56.0,0,1,C,41.58,0
880,1,2,1,25.0,0,1,S,63.31,0
881,0,3,0,33.0,0,0,S,38.45,0
882,0,3,1,22.0,0,0,S,51.22,0
883,0,2,0,28.0,0,0,S,51.14,0
884,0,3,0,25.0,0,0,S,34.33,0
885,0,3,1,39.0,0,5,Q,24.40,0
886,0,2,0,27.0,0,0,S,63.31,0
887,1,1,1,19.0,0,0,S,146.10,0
888,0,3,1,,1,2,S,38.07,1
889,1,1,0,26.0,0,0,C,30.00,0
890,0,3,0,32.0,0,0,Q,32.46,0
